subject	im_class	role	status	basis	rdf_types	path	example	note
DataSet	DataSet	root	sure	name	gxaterms:microarray_1colour_mrna_differential gxaterms:microarray_1colour_microrna_differential gxaterms:microarray_2colour_mrna_differential gxaterms:rnaseq_mrna_baseline gxaterms:rnaseq_mrna_differential gxaterms:proteomics_baseline	(root)	gxa:E-GEOD-56087	subject name is the model class DataSet
DifferentialAnalysis		skip	sure	spec-D10	gxaterms:RNASeqDifferentialAnalysis gxaterms:MicroarrayDifferentialExpressionAnalysis	gxaterms:hasPart+	gxa:E-GEOD-56087#analysis-05E9336DD034DD285691388914E5B56D	deferred to D10 (EBI hierarchy flattening)
BaselineAnalysis		skip	sure	spec-D10	gxaterms:BaselineExpressionAnalysis	gxaterms:hasPart+	gxa:E-GEOD-26284#analysis-2016A09DDE60EE59799945563C64D3D5	deferred to D10 (EBI hierarchy flattening)
Assay		skip	sure	spec-D10	gxaterms:Assay	gxaterms:hasPart+	gxa:E-GEOD-56087#assay-61FF448F7A1B3C0BBABB356C77082752	deferred to D10 (EBI hierarchy flattening)
Factor		skip	sure	spec-D10	<http://www.ebi.ac.uk/efo/EFO_0000001>	gxaterms:hasPart+ / gxaterms:hasFactorValue+	gxa:E-GEOD-56087#factor-40EA3327BFCCBB34E3ACA740B6D0E0D8	deferred to D10 (EBI hierarchy flattening)
DifferentialExpression		skip	sure	spec-D10	gxaterms:IncreasedDifferentialExpressionRatio gxaterms:DecreasedDifferentialExpressionRatio	gxaterms:hasPart+ / gxaterms:hasOutput+	gxa:E-GEOD-56087#expression-FCED54288826983AFC759FA4A4BD0C18	deferred to D10; would map onto AtlasExpression once flattened
BaselineExpression		skip	sure	spec-D10	gxaterms:BaselineExpressionValue	gxaterms:hasPart+ / gxaterms:hasOutput+	gxa:E-GEOD-26284#analysis-2016A09DDE60EE59799945563C64D3D5	deferred to D10; would map onto AtlasExpression once flattened
Sample		skip	sure	spec-D10	obo:UBERON_0000001	gxaterms:hasPart+ / gxaterms:hasInputSampleCharacteristic+	gxa:E-GEOD-56087#sample-40EA3327BFCCBB34E3ACA740B6D0E0D8	deferred to D10 (EBI hierarchy flattening)
