subject	im_class	role	status	basis	rdf_types	path	example	note
DegradationProteinRefXref	Pathway	node	guess	knowledge	biopax:UnificationXref	biopax:pathwayComponent+ / biopax:left / biopax:entityReference / biopax:xref	reactome:UnificationXref58993	UnificationXref with db Reactome carries the stable id R-HSA-nnn -> Pathway.identifier
DegradationRnaReference		node	todo		biopax:RnaReference	biopax:pathwayComponent+ / biopax:left / biopax:memberPhysicalEntity / biopax:entityReference	reactome:RnaReference6	no term/knowledge/name match - bind by hand or set role=skip
CatalysisDna		node	todo		biopax:Dna	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:component*	reactome:Dna100	no term/knowledge/name match - bind by hand or set role=skip
CatalysisSmallMoleculeReference		node	todo		biopax:SmallMoleculeReference	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference	reactome:SmallMoleculeReference68	no term/knowledge/name match - bind by hand or set role=skip
CatalysisProteinReference	Protein	node	guess	knowledge	biopax:ProteinReference	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference	reactome:ProteinReference6278	
CatalysisRna		node	todo		biopax:Dna	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:memberPhysicalEntity	reactome:Rna100	no term/knowledge/name match - bind by hand or set role=skip
ControlDna		node	todo		biopax:Dna	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:component*	reactome:Dna100	no term/knowledge/name match - bind by hand or set role=skip
ControlSmallMoleculeReference		node	todo		biopax:SmallMoleculeReference	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference	reactome:SmallMoleculeReference68	no term/knowledge/name match - bind by hand or set role=skip
ControlProteinReference	Protein	node	guess	knowledge	biopax:ProteinReference	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference	reactome:ProteinReference6278	
ControlRnaReference		node	todo		biopax:RnaReference	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference	reactome:RnaReference6	no term/knowledge/name match - bind by hand or set role=skip
DegradationSmallMoleculeRefXref	Pathway	node	guess	knowledge	biopax:UnificationXref	biopax:pathwayComponent+ / biopax:left / biopax:component* / biopax:entityReference / biopax:xref	reactome:UnificationXref6849	UnificationXref with db Reactome carries the stable id R-HSA-nnn -> Pathway.identifier
CatalysisDnaReference		node	todo		biopax:DnaReference	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:component* / biopax:entityReference	reactome:DnaReference97	no term/knowledge/name match - bind by hand or set role=skip
CatalysisSmallMoleculeRefXref	Pathway	node	guess	knowledge	biopax:UnificationXref	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference / biopax:xref	reactome:UnificationXref6849	UnificationXref with db Reactome carries the stable id R-HSA-nnn -> Pathway.identifier
CatalysisProteinRefXref	Pathway	node	guess	knowledge	biopax:UnificationXref	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference / biopax:xref	reactome:UnificationXref58993	UnificationXref with db Reactome carries the stable id R-HSA-nnn -> Pathway.identifier
CatalysisRnaReference		node	todo		biopax:RnaReference	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:memberPhysicalEntity / biopax:entityReference	reactome:RnaReference6	no term/knowledge/name match - bind by hand or set role=skip
ControlDnaReference		node	todo		biopax:DnaReference	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:component* / biopax:entityReference	reactome:DnaReference97	no term/knowledge/name match - bind by hand or set role=skip
ControlSmallMoleculeRefXref	Pathway	node	guess	knowledge	biopax:UnificationXref	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference / biopax:xref	reactome:UnificationXref6849	UnificationXref with db Reactome carries the stable id R-HSA-nnn -> Pathway.identifier
ControlProteinRefXref	Pathway	node	guess	knowledge	biopax:UnificationXref	biopax:pathwayOrder+ / biopax:stepProcess / biopax:controller / biopax:entityReference / biopax:xref	reactome:UnificationXref58993	UnificationXref with db Reactome carries the stable id R-HSA-nnn -> Pathway.identifier
